"id","country","name","sex","age","president","start_president","end_president","ministry","start_minister","end_minister","non_party","president_party","economist","lawyer","inner_circle","party_leader","exp_executive","exp_congress","exp_ngo","exp_thinktanks","exp_business","political_kinship"
30,"Chile","Bitar Chacra, Sergio","man",67,"Michelle Bachelet",2006-03-11,2010-03-11,"Obras Públicas",2008-01-11,2010-03-11,0,0,0,0,0,1,0,1,1,1,0,0
31,"Chile","Bitar Chacra, Sergio","man",62,"Ricardo Lagos",2000-03-11,2006-03-11,"Educación",2003-03-03,2005-12-14,0,1,0,0,1,1,0,1,1,1,0,0
32,"Chile","Bitrán Colodro, Eduardo","man",48,"Michelle Bachelet",2006-03-11,2010-03-11,"Obras Públicas",2006-03-11,2008-01-08,0,0,1,0,1,0,0,0,1,1,1,0
33,"Chile","Blanlot Soza, Vivianne","woman",50,"Michelle Bachelet",2006-03-11,2010-03-11,"Defensa Nacional",2006-03-11,2007-03-26,0,0,1,0,1,0,1,0,1,1,0,0
34,"Chile","Boeninger Kausel, Edgardo","man",64,"Patricio Aylwin",1990-03-11,1994-03-11,"SEGPRES",1990-03-11,1994-03-11,0,1,1,0,1,1,1,0,1,1,0,0
35,"Chile","Brunner Ried, José Joaquín","man",49,"Eduardo Frei",1994-03-11,2000-03-11,"SEGEGOB",1994-09-20,1998-08-01,0,0,0,0,1,0,0,0,1,1,0,0
36,"Chile","Bulnes Serrano, Felipe","man",42,"Sebastián Piñera",2010-03-11,2014-03-11,"Educación",2011-07-18,2011-12-29,0,1,0,1,1,0,0,0,0,0,0,1
37,"Chile","Bulnes Serrano, Felipe","man",40,"Sebastián Piñera",2010-03-11,2014-03-11,"Justicia",2010-03-11,2011-07-18,0,1,0,1,1,0,0,0,0,0,0,1
38,"Chile","Bunster Betteley, Jorge","man",59,"Sebastián Piñera",2010-03-11,2014-03-11,"Energía",2012-04-03,2014-03-11,1,0,0,0,0,0,0,0,0,0,1,1
39,"Chile","Campos Quiroga, Jaime","man",47,"Ricardo Lagos",2000-03-11,2006-03-11,"Agricultura",2000-03-11,2006-03-11,0,0,0,1,0,1,0,1,0,0,0,0
40,"Chile","Chadwick Piñera, Andrés","man",56,"Sebastián Piñera",2010-03-11,2014-03-11,"Interior y Seguridad Pública",2012-11-05,2014-03-11,0,0,0,1,1,1,0,1,1,1,0,1
41,"Chile","Chadwick Piñera, Andrés","man",55,"Sebastián Piñera",2010-03-11,2014-03-11,"SEGEGOB",2011-07-18,2012-11-05,0,0,0,1,1,1,0,1,1,1,0,1
42,"Chile","Correa Díaz, Germán","man",50,"Patricio Aylwin",1990-03-11,1994-03-11,"Transporte y Telecomunicaciones",1990-03-11,1992-09-28,0,0,0,0,0,0,0,0,0,0,0,0
43,"Chile","Correa Díaz, Germán","man",54,"Eduardo Frei",1994-03-11,2000-03-11,"Interior",1994-03-11,1994-09-20,0,0,0,0,0,1,0,0,0,0,0,0
44,"Chile","Correa Rios, Enrique","man",44,"Patricio Aylwin",1990-03-11,1994-03-11,"SEGEGOB",1990-03-11,1994-03-11,0,0,0,0,0,0,0,0,0,0,0,0
45,"Chile","Cortázar Sanz, René","man",55,"Michelle Bachelet",2006-03-11,2010-03-11,"Transporte y Telecomunicaciones",2007-03-27,2010-03-11,0,0,1,0,0,0,1,0,1,0,1,0
46,"Chile","Cortázar Sanz, René","man",38,"Patricio Aylwin",1990-03-11,1994-03-11,"Trabajo y Previsión Social",1990-03-11,1994-03-11,0,1,1,0,1,0,0,0,1,1,1,0
47,"Chile","Cruz Coke Carvallo, Luciano","man",39,"Sebastián Piñera",2010-03-11,2014-03-11,"Consejo Nacional de la Cultura y las Artes",2010-03-11,2013-06-06,1,0,0,0,1,0,0,0,0,0,0,1
48,"Chile","Cruz Lorenzen, Carlos","man",48,"Ricardo Lagos",2000-03-11,2006-03-11,"Transporte y Telecomunicaciones",2000-03-11,2002-01-07,0,1,0,0,1,0,1,0,0,0,1,0
